year,rank,song,artist,artist_original,artist_clean
1973,1,Tie a Yellow Ribbon Round the Ole Oak Tree,Tony Orlando and Dawn,Tony Orlando and Dawn,Tony Orl
1973,2,"Bad, Bad Leroy Brown",Jim Croce,Jim Croce,Jim Croce
1973,3,Killing Me Softly with His Song,Roberta Flack,Roberta Flack,Roberta Flack
1973,4,Let's Get It On,Marvin Gaye,Marvin Gaye,Marvin Gaye
1973,5,My Love,Paul McCartney & Wings,Paul McCartney & Wings,Paul McCartney
1973,6,Why Me,Kris Kristofferson,Kris Kristofferson,Kris Kristofferson
1973,7,Crocodile Rock,Elton John,Elton John,Elton John
1973,8,Will It Go Round in Circles,Billy Preston,Billy Preston,Billy Preston
1973,9,You're So Vain,Carly Simon,Carly Simon,Carly Simon
1973,10,Touch Me in the Morning,Diana Ross,Diana Ross,Diana Ross
1973,11,The Night the Lights Went Out in Georgia,Vicki Lawrence,Vicki Lawrence,Vicki Lawrence
1973,12,Playground in My Mind,Clint Holmes,Clint Holmes,Clint Holmes
1973,13,Brother Louie,Stories,Stories,Stories
1973,14,Delta Dawn,Helen Reddy,Helen Reddy,Helen Reddy
1973,15,Me and Mrs. Jones,Billy Paul,Billy Paul,Billy Paul
1973,16,Frankenstein,The Edgar Winter Group,The Edgar Winter Group,The Edgar Winter Group
1973,17,Drift Away,Dobie Gray,Dobie Gray,Dobie Gray
1973,18,Little Willy,Sweet,Sweet,Sweet
1973,19,You Are the Sunshine of My Life,Stevie Wonder,Stevie Wonder,Stevie Wonder
1973,20,Half-Breed,Cher,Cher,Cher
1973,21,That Lady,The Isley Brothers,The Isley Brothers,The Isley Brothers
1973,22,Pillow Talk,Sylvia Robinson,Sylvia Robinson,Sylvia Robinson
1973,23,We're an American Band,Grand Funk Railroad,Grand Funk Railroad,Gr
1973,24,Right Place Wrong Time,Dr. John,Dr. John,Dr. John
1973,25,Wildflower,Skylark,Skylark,Skylark
1973,26,Superstition,Stevie Wonder,Stevie Wonder,Stevie Wonder
1973,27,Loves Me Like a Rock,Paul Simon,Paul Simon,Paul Simon
1973,28,The Morning After,Maureen McGovern,Maureen McGovern,Maureen McGovern
1973,29,Rocky Mountain High,John Denver,John Denver,John Denver
1973,30,Stuck in the Middle with You,Stealers Wheel,Stealers Wheel,Stealers Wheel
1973,31,Shambala,Three Dog Night,Three Dog Night,Three Dog Night
1973,32,Love Train,The O'Jays,The O'Jays,The O'Jays
1973,33,I'm Gonna Love You Just a Little More Baby,Barry White,Barry White,Barry White
1973,34,"Say, Has Anybody Seen My Sweet Gypsy Rose",Tony Orlando and Dawn,Tony Orlando and Dawn,Tony Orl
1973,35,Keep on Truckin',Eddie Kendricks,Eddie Kendricks,Eddie Kendricks
1973,36,Danny's Song,Anne Murray,Anne Murray,Anne Murray
1973,37,Dancing in the Moonlight,King Harvest,King Harvest,King Harvest
1973,38,Monster Mash,Bobby 'Boris' Pickett,Bobby 'Boris' Pickett,Bobby 'Boris' Pickett
1973,39,Natural High,Bloodstone,Bloodstone,Bloodstone
1973,40,Diamond Girl,Seals and Crofts,Seals and Crofts,Seals
1973,41,Long Train Runnin',The Doobie Brothers,The Doobie Brothers,The Doobie Brothers
1973,42,Give Me Love (Give Me Peace on Earth),George Harrison,George Harrison,George Harrison
1973,43,If You Want Me to Stay,Sly & the Family Stone,Sly & the Family Stone,Sly
1973,44,Daddy's Home,Jermaine Jackson,Jermaine Jackson,Jermaine Jackson
1973,45,Neither One of Us (Wants to Be the First to Say Goodbye),Gladys Knight & the Pips,Gladys Knight & the Pips,Gladys Knight
1973,46,I'm Doin' Fine Now,New York City,New York City,New York City
1973,47,Could It Be I'm Falling in Love,The Spinners,The Spinners,The Spinners
1973,48,Daniel,Elton John,Elton John,Elton John
1973,49,Midnight Train to Georgia,Gladys Knight & the Pips,Gladys Knight & the Pips,Gladys Knight
1973,50,Smoke on the Water,Deep Purple,Deep Purple,Deep Purple
1973,51,"The Cover of ""Rolling Stone""",Dr. Hook & The Medicine Show,Dr. Hook & The Medicine Show,Dr. Hook
1973,52,Behind Closed Doors,Charlie Rich,Charlie Rich,Charlie Rich
1973,53,Your Mama Don't Dance,Loggins and Messina,Loggins and Messina,Loggins
1973,54,Feelin' Stronger Every Day,Chicago,Chicago,Chicago
1973,55,The Cisco Kid,War,War,War
1973,56,Live and Let Die,Paul McCartney & Wings,Paul McCartney & Wings,Paul McCartney
1973,57,"Oh, Babe, What Would You Say?",Hurricane Smith,Hurricane Smith,Hurricane Smith
1973,58,I Believe in You (You Believe in Me),Johnnie Taylor,Johnnie Taylor,Johnnie Taylor
1973,59,Sing,The Carpenters,The Carpenters,The Carpenters
1973,60,Ain't No Woman (Like the One I've Got),The Four Tops,The Four Tops,The Four Tops
1973,61,Dueling Banjos,"Eric Weissberg,Steve Mandell","Eric Weissberg,Steve Mandell",Eric Weissberg
1973,62,Higher Ground,Stevie Wonder,Stevie Wonder,Stevie Wonder
1973,63,Here I Am (Come and Take Me),Al Green,Al Green,Al Green
1973,64,My Maria,B.W. Stevenson,B.W. Stevenson,B.W. Stevenson
1973,65,Superfly,Curtis Mayfield,Curtis Mayfield,Curtis Mayfield
1973,66,Last Song,Edward Bear,Edward Bear,Edward Bear
1973,67,Get Down,Gilbert O'Sullivan,Gilbert O'Sullivan,Gilbert O'Sullivan
1973,68,Reelin' in the Years,Steely Dan,Steely Dan,Steely Dan
1973,69,Hocus Pocus,Focus,Focus,Focus
1973,70,Yesterday Once More,The Carpenters,The Carpenters,The Carpenters
1973,71,Boogie Woogie Bugle Boy,Bette Midler,Bette Midler,Bette Midler
1973,72,Clair,Gilbert O'Sullivan,Gilbert O'Sullivan,Gilbert O'Sullivan
1973,73,Do It Again,Steely Dan,Steely Dan,Steely Dan
1973,74,Kodachrome,Paul Simon,Paul Simon,Paul Simon
1973,75,Why Can't We Live Together,Timmy Thomas,Timmy Thomas,Timmy Thomas
1973,76,Do You Want To Dance?,Bette Midler,Bette Midler,Bette Midler
1973,77,So Very Hard to Go,Tower of Power,Tower of Power,Tower of Power
1973,78,Rockin' Pneumonia and the Boogie Woogie Flu,Johnny Rivers,Johnny Rivers,Johnny Rivers
1973,79,Ramblin' Man,The Allman Brothers Band,The Allman Brothers Band,The Allman Brothers B
1973,80,Masterpiece,The Temptations,The Temptations,The Temptations
1973,81,Peaceful,Helen Reddy,Helen Reddy,Helen Reddy
1973,82,One of a Kind (Love Affair),The Spinners,The Spinners,The Spinners
1973,83,Funny Face,Donna Fargo,Donna Fargo,Donna Fargo
1973,84,Funky Worm,Ohio Players,Ohio Players,Ohio Players
1973,85,Angie,The Rolling Stones,The Rolling Stones,The Rolling Stones
1973,86,Jambalaya (On the Bayou),Blue Ridge Rangers,Blue Ridge Rangers,Blue Ridge Rangers
1973,87,Don't Expect Me to Be Your Friend,Lobo,Lobo,Lobo
1973,88,Break Up to Make Up,The Stylistics,The Stylistics,The Stylistics
1973,89,Daisy a Day,Jud Strunk,Jud Strunk,Jud Strunk
1973,90,Also Sprach Zarathustra (2001),Deodato,Deodato,Deodato
1973,91,Stir It Up,Johnny Nash,Johnny Nash,Johnny Nash
1973,92,Money,Pink Floyd,Pink Floyd,Pink Floyd
1973,93,Gypsy Man,War,War,War
1973,94,The World Is a Ghetto,,,
1973,95,Yes We Can Can,The Pointer Sisters,The Pointer Sisters,The Pointer Sisters
1973,96,Free Ride,The Edgar Winter Group,The Edgar Winter Group,The Edgar Winter Group
1973,97,Space Oddity,David Bowie,David Bowie,David Bowie
1973,98,It Never Rains in Southern California,Albert Hammond,Albert Hammond,Albert Hammond
1973,99,The Twelfth of Never,Donny Osmond,Donny Osmond,Donny Osmond
1973,100,Papa Was a Rollin' Stone,The Temptations,The Temptations,The Temptations
1974,1,The Way We Were,Barbra Streisand,Barbra Streisand,Barbra Streis
1974,2,Seasons in the Sun,Terry Jacks,Terry Jacks,Terry Jacks
1974,3,Love's Theme,Love Unlimited Orchestra,Love Unlimited Orchestra,Love Unlimited Orchestra
